SITENAME,BCF-Sector,Solution Type,Site Type,Blended Congestion,Lat,Lon,Town,Province,ACL,Azimuth,Beam Width,Length
SORIANOCABADAGN,SORIANOCABADAGN-3,MACRO,MACRO,GREEN,9.099796,125.564531,AGUSAN DEL NORTE,CABADBARAN CITY,39,250,40,200
TAVIRAN,TAVIRAN-2,MACRO,MACRO,GREEN,7.123548,124.321676,MAGUINDANAO DEL NORTE,KABUNTALAN,37,100,40,200
TCFGABATOSTCRUZDDS,TCFGABATOSTCRUZDDS-2,MACRO,MACRO,GREEN,6.793281,125.389508,DAVAO DEL SUR,SANTA CRUZ,32,100,40,200
TCFGACABURASMJABADDVOC,TCFGACABURASMJABADDVOC-2,MACRO,MACRO,GREEN,5.914524,125.643066,DAVAO OCCIDENTAL,JOSE ABAD SANTOS,40,140,40,200
TCFGACONELGENSANSCOT,TCFGACONELGENSANSCOT-1,MACRO,MACRO,GREEN,6.205803,125.185856,SOUTH COTABATO,GENERAL SANTOS CITY,29,0,40,200
TCFGADINOPVKNANGBUTUANAGN,TCFGADINOPVKNANGBUTUANAGN-1,MACRO,MACRO,GREEN,8.930859,125.535468,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),42,20,40,200
TCFGAISIDROTAGUMDDN,TCFGAISIDROTAGUMDDN-1,MACRO,MACRO,GREEN,7.398652,125.775601,DAVAO DEL NORTE,TAGUM CITY (CAPITAL),24,330,40,200
TCFGAKIPILASKITAOBUK,TCFGAKIPILASKITAOBUK-3,MACRO,MACRO,GREEN,7.52132,125.235514,DAVAO DEL SUR,DAVAO CITY,40,200,40,200
TCFGANEWMALPANABODDN,TCFGANEWMALPANABODDN-1,MACRO,MACRO,GREEN,7.337739,125.612704,DAVAO DEL NORTE,PANABO CITY,26,5,40,200
TCFGANOANGMIDSAYCOT,TCFGANOANGMIDSAYCOT-2,MACRO,MACRO,GREEN,7.244636,124.554606,COTABATO,MIDSAYAP,39,65,40,200
TCFGAP11CLNDAVAODDS,TCFGAP11CLNDAVAODDS-2,MACRO,MACRO,GREEN,7.20262,125.445,DAVAO DEL SUR,DAVAO CITY,40,50,40,200
